genes,logFC,logCPM,F,PValue,FDR
maker-scaffold533-size168304-augustus-gene-0.19,-10.3562475773759,10.2710132609878,644.689254164829,2.03165096874468e-11,1.50567910683633e-09
augustus_masked-scaffold107-size198745-abinit-gene-0.11,7.83232603254602,8.28339329273814,628.271362640524,2.08862432931368e-11,1.53571448717568e-09
maker-scaffold366-size139030-snap-gene-0.29,-2.12048478686757,7.38815556568032,594.623164995827,2.24225552541531e-11,1.63579547627563e-09
augustus_masked-scaffold2197-size32082-abinit-gene-0.0,-5.20379733314899,6.01555648725764,592.326535884686,2.29254592411203e-11,1.65951890227583e-09
augustus_masked-scaffold248-size129421-abinit-gene-1.0,-3.3873228271864,7.58846350514699,587.961653946503,2.39181487362741e-11,1.71805902230252e-09
maker-scaffold140-size106990-augustus-gene-0.51,-4.88998333406548,6.59945945050068,586.867917172997,2.41747272137399e-11,1.72323360856415e-09
maker-scaffold2349-size27842-snap-gene-0.17,-2.74599438690592,6.88954437753965,585.817779212319,2.44241167202835e-11,1.72782122677278e-09
maker-scaffold1438-size64040-augustus-gene-0.24,2.57561713984967,6.28253947322145,582.595425122814,2.52083955372732e-11,1.76989471824855e-09
maker-scaffold158-size227332-snap-gene-0.32,4.35760466608436,6.82331519471871,578.896630081911,2.61452763201197e-11,1.82197455430805e-09
maker-scaffold51-size162202-snap-gene-1.25,5.02576080523163,6.11384392979351,574.374293264555,2.73467346045671e-11,1.89158376101813e-09
maker-scaffold186-size142235-augustus-gene-0.12,-2.21776508009211,6.94890851958611,573.210276255902,2.76663705589325e-11,1.89962182558318e-09
maker-scaffold156-size116054-augustus-gene-0.45,-3.55616823819883,8.05340684060847,571.909974162565,2.80286182922865e-11,1.91044698987862e-09
maker-scaffold374-size136159-snap-gene-0.15,-3.53147770473007,8.16531132589771,569.077560673291,2.88371017328669e-11,1.95131055059066e-09
snap_masked-scaffold1042-size18763-abinit-gene-0.6,-2.87414504539083,7.66819009068875,566.130670444558,2.97074153899212e-11,1.99038298228342e-09
maker-scaffold239-size140635-augustus-gene-0.13,2.92903177319827,7.05139059220801,565.687892925574,2.98408243220902e-11,1.99038298228342e-09
snap_masked-scaffold19-size116871-abinit-gene-0.17,-9.06265669470709,9.58186173685806,600.951867974836,3.01610791329707e-11,1.99747629038071e-09
maker-scaffold599-size167612-augustus-gene-0.41,-2.94908169006198,7.3971284293223,561.160567833518,3.12459696104783e-11,2.05475256494821e-09
maker-scaffold467-size46863-augustus-gene-0.17,-4.3114091934309,8.38644016906068,560.321059764232,3.15149698175448e-11,2.05794956752611e-09
snap_masked-scaffold661-size41221-abinit-gene-0.6,-2.634980512578,7.8943824420306,557.97776307253,3.22802973954713e-11,2.09328761860355e-09
augustus_masked-scaffold503-size42156-abinit-gene-0.5,-3.18659666079852,8.55638345891285,553.313212731828,3.38695299798362e-11,2.18119773070145e-09
maker-scaffold2305-size14575-snap-gene-0.6,-7.96642390572817,6.86794046807787,587.898749731181,3.41227056505809e-11,2.18245085866523e-09
snap_masked-scaffold228-size67878-abinit-gene-0.12,-3.83588440424816,6.86609687839123,551.850013843621,3.4386807799829e-11,2.18438102880819e-09
maker-scaffold1498-size25821-snap-gene-0.9,5.45836753838218,6.81144625027787,549.785415260221,3.51325221723659e-11,2.21667224355103e-09
augustus_masked-scaffold68-size241440-abinit-gene-1.1,4.95653772281436,8.87753967884102,546.983381968882,3.61751097170256e-11,2.24914881128221e-09
